MemTotal:       2101231976 kB
MemFree:        2034445628 kB
MemAvailable:   2085123832 kB
Buffers:          415448 kB
Cached:         58332804 kB
SwapCached:            0 kB
Active:          2131480 kB
Inactive:       56879948 kB
Active(anon):     270104 kB
Inactive(anon):    60360 kB
Active(file):    1861376 kB
Inactive(file): 56819588 kB
Unevictable:       19096 kB
Mlocked:           19096 kB
SwapTotal:      16777208 kB
SwapFree:       16739000 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        285592 kB
Mapped:           158824 kB
Shmem:             60444 kB
KReclaimable:    2232344 kB
Slab:            4992972 kB
SReclaimable:    2232344 kB
SUnreclaim:      2760628 kB
KernelStack:       45408 kB
PageTables:         5176 kB
NFS_Unstable:          4 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    1067393196 kB
Committed_AS:    2773556 kB
VmallocTotal:   34359738367 kB
VmallocUsed:     1488608 kB
VmallocChunk:          0 kB
Percpu:           349184 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     8830928 kB
DirectMap2M:    559339520 kB
DirectMap1G:    1567621120 kB
