MemTotal:       2101231976 kB
MemFree:        1859553808 kB
MemAvailable:   2083994120 kB
Buffers:        14516648 kB
Cached:         155472440 kB
SwapCached:            0 kB
Active:         167517108 kB
Inactive:        2734604 kB
Active(anon):     266624 kB
Inactive(anon):    60296 kB
Active(file):   167250484 kB
Inactive(file):  2674308 kB
Unevictable:       19096 kB
Mlocked:           19096 kB
SwapTotal:      16777208 kB
SwapFree:       16733624 kB
Dirty:                 0 kB
Writeback:             8 kB
AnonPages:        281828 kB
Mapped:           155216 kB
Shmem:             60444 kB
KReclaimable:   65825740 kB
Slab:           68608552 kB
SReclaimable:   65825740 kB
SUnreclaim:      2782812 kB
KernelStack:       45376 kB
PageTables:         5164 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    1067393196 kB
Committed_AS:    3159812 kB
VmallocTotal:   34359738367 kB
VmallocUsed:     1488080 kB
VmallocChunk:          0 kB
Percpu:           349184 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     8966096 kB
DirectMap2M:    568641536 kB
DirectMap1G:    1558183936 kB
