MemTotal:       2101231976 kB
MemFree:        2067751280 kB
MemAvailable:   2085439296 kB
Buffers:          419196 kB
Cached:         25694424 kB
SwapCached:            0 kB
Active:          2169916 kB
Inactive:       24211564 kB
Active(anon):     273736 kB
Inactive(anon):    60360 kB
Active(file):    1896180 kB
Inactive(file): 24151204 kB
Unevictable:       19096 kB
Mlocked:           19096 kB
SwapTotal:      16777208 kB
SwapFree:       16739768 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:        289000 kB
Mapped:           174476 kB
Shmem:             60448 kB
KReclaimable:    1519128 kB
Slab:            4272944 kB
SReclaimable:    1519128 kB
SUnreclaim:      2753816 kB
KernelStack:       45584 kB
PageTables:         5340 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    1067393196 kB
Committed_AS:    3008868 kB
VmallocTotal:   34359738367 kB
VmallocUsed:     1488456 kB
VmallocChunk:          0 kB
Percpu:           349184 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     8826832 kB
DirectMap2M:    559343616 kB
DirectMap1G:    1567621120 kB
